Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController,Controller,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WizardController; ViewFactory; FurnitureCatalogController; FurnitureController; HomeFurnitureController; TextureChoiceController; ModelMaterialsController; FurnitureModificationUndoableEdit; PlanController; PlanView; SelectionState; SelectionMoveState; RectangleSelectionState; PanningState; WallCreationState; WallDrawingState; WallResizeState; PieceOfFurnitureRotationState; PieceOfFurniturePitchRotationState; PieceOfFurnitureRollRotationState; PieceOfFurnitureElevationState; PieceOfFurnitureHeightState; PieceOfFurnitureResizeState; LightPowerModificationState; PieceOfFurnitureNameOffsetState; PieceOfFurnitureNameRotationState; CameraYawRotationState; CameraPitchRotationState; CameraElevationState; DimensionLineCreationState; DimensionLineDrawingState; DimensionLineResizeState; DimensionLineOffsetState; RoomCreationState; RoomDrawingState; RoomResizeState; RoomAreaOffsetState; RoomAreaRotationState; RoomNameOffsetState; RoomNameRotationState; PolylineCreationState; PolylineDrawingState; PolylineResizeState; LabelCreationState; LabelRotationState; LabelElevationState; CompassRotationState; CompassResizeState; HomeController3D; UserPreferencesChangeListener; HomeController; HelpController; UserPreferencesPropertiesChangeListener; WallController; BaseboardChoiceController; WallsModificationUndoableEdit; RoomController; RoomsAndWallSidesModificationUndoableEdit; PolylineController; PolylinesModificationUndoableEdit; LabelController; LabelCreationUndoableEdit; LabelModificationUndoableEdit; PhotosController; PhotoController; VideoController; ViewFactoryAdapter; BackgroundImageWizardController; Home3DAttributesController; Home3DAttributesModificationUndoableEdit; LevelController; LevelModificationUndoableEdit; ImportedFurnitureWizardController; ImportedTextureWizardController; PageSetupController; PrintPreviewController; CompassController; CompassUndoableEdit; ObserverCameraController; ThreadedTaskController; UserPreferencesController; TopCameraState
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Step,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.BaseboardChoiceController$BaseboardPaint,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.CompassController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
com.eteks.sweethome3d.viewcontroller.CompassController$Property,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.CompassController$Property,Information Holder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.ContentManager$ContentType,Information Holder,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
com.eteks.sweethome3d.viewcontroller.Controller,Service Provider,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: HomeFrameController; AbstractPhotoController; BackgroundImageWizardController; BaseboardChoiceController; CompassController; FurnitureCatalogController; FurnitureController; HelpController; Home3DAttributesController; HomeController; HomeController3D; HomeFurnitureController; ImportedFurnitureWizardController; ImportedTextureWizardController; LabelController; LevelController; ModelMaterialsController; ObserverCameraController; PageSetupController; PlanController; PolylineController; PrintPreviewController; RoomController; TextureChoiceController; ThreadedTaskController; UserPreferencesController; VideoController; WallController; WizardController
com.eteks.sweethome3d.viewcontroller.DialogView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.DialogView,Service Provider,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: CompassPanel; Home3DAttributesPanel; HomeFurniturePanel; LabelPanel; LevelPanel; ObserverCameraPanel; PageSetupPanel; PhotoPanel; PhotosPanel; PolylinePanel; PrintPreviewPanel; RoomPanel; UserPreferencesPanel; VideoPanel; WallPanel; WizardPane
com.eteks.sweethome3d.viewcontroller.ExportableView,Service Provider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SVG; CSV; name
com.eteks.sweethome3d.viewcontroller.ExportableView,Service Provider,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.viewcontroller.ExportableView$FormatType,Information Holder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SVG; CSV; name
com.eteks.sweethome3d.viewcontroller.FurnitureCatalogController$FurnitureCatalogChangeListener,Coordinator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.FurnitureCatalogController$FurnitureCatalogViewChangeListener,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.viewcontroller.FurnitureController,Controller,Feature Envy,The tool detected a instance of this smell because addModelListeners is more interested in members of the type: Home
